"Barcode"
"APV0000247382"
"CG514094247R5V80"
"APV0000247399"
"CG514094248R5V80"
"APV0000247405"
"CG514094224R5V80"
"APV0000013352"
"EA24805721974556"
"648899001212"
"APV0000013369"
"EA24805721902556"
"648899001205"
"APV0000013376"
"EA248057219D1556"
"APV0000013383"
"EA24805721966556"
"648899001182"
"APV0000013390"
"EA24805721941556"
"APV0000974363"
"648899002059"
"APV0000013406"
"EA24805721946556"
"648899001557"
"APV0000013413"
"EA24805721972556"
"APV0000974370"
"648899002974"
"APV0000013420"
"EA24805721927556"
"648899002851"
"APV0000013437"
"EA24805721959556"
"648899001175"
"APV0000013444"
"EA24805721970556"
"648899002899"
"APV0000013451"
"EA24805721931556"
"648899001342"
"APV0000013468"
"EA24805721949556"
"648899001236"
"APV0000013475"
"EA24805721942556"
"648899001595"
"APV0000013482"
"EA24805721965556"
"EA248057219F4556"
"648899001229"
"APV0000013499"
"EA24805721954556"
"APV0000013512"
"EA24805722002562"
"APV0000013505"
"EA24905721840562"
"648899000277"
"APV0000013529"
"EA24805721757554"
"APV0000013536"
"EA24805721740554"
"APV0000013543"
"EA24805721730554"
"APV0000064866"
"EA24705719331976"
"EA24805721157772"
"648899005623"
"APV0000064873"
"EA248057220L6A57"
"APV0000474238"
"EA24057219F4A57"
"APV0000068147"
"EA248057219F4A57"
"APV0000068154"
"EA248057219L6A57"
"648899001380"
"APV0000068161"
"EA248057219K9556"
"APV0000068178"
"EA248057219I7556"
"648899008044"
"648899009409"
"648899010658"
"APV0000451048"
"648899001977"
"APV0000068185"
"EA248057219G3556"
"648899001038"
"APV0000068192"
"EA24705721657552"
"648899001007"
"APV0000068208"
"EA24705721606552"
"648899001052"
"APV0000068215"
"EA24705721602552"
"648899001045"
"APV0000068222"
"EA247057216AA552"
"APV0000935715"
"648899001021"
"APV0000068239"
"EA24705721641552"
"APV0000068246"
"EA247057216D1552"
"648899002035"
"APV0000068253"
"EA24705721640552"
"648899001533"
"APV0000068260"
"EA24705721672552"
"648899002950"
"APV0000068277"
"EA24705721627552"
"648899002837"
"APV0000068284"
"EA24705721659552"
"648899001366"
"APV0000068291"
"EA247057216K9552"
"648899001014"
"APV0000068307"
"EA24705721670552"
"APV0000068314"
"EA247057216I7552"
"648899005852"
"APV0000068321"
"EA24705721631552"
"648899001328"
"APV0000068338"
"EA24705721649552"
"648899001076"
"APV0000068345"
"EA23905721642552"
"648899001571"
"APV0000068352"
"EA247057216F4552"
"EA247057216L1552"
"APV0000068369"
"EA247057216F2552"
